# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
43
0 -1 EULER_XYZ mixamorig:Hips
1 0 EULER_XYZ mixamorig:Spine
2 1 EULER_XYZ mixamorig:Spine1
3 2 EULER_XYZ mixamorig:Spine2
4 3 EULER_XYZ mixamorig:Neck
5 4 EULER_XYZ mixamorig:Head
6 5 EULER_XYZ mixamorig:HeadTop_End
7 5 EULER_XYZ mixamorig:Reye
8 5 EULER_XYZ mixamorig:Leye
9 3 EULER_XYZ mixamorig:LeftShoulder
10 9 EULER_XYZ mixamorig:LeftArm
11 10 EULER_XYZ mixamorig:LeftForeArm
12 11 EULER_XYZ mixamorig:LeftHand
13 12 EULER_XYZ mixamorig:LeftHandThumb1
14 13 EULER_XYZ mixamorig:LeftHandThumb2
15 14 EULER_XYZ mixamorig:LeftHandThumb3
16 15 EULER_XYZ mixamorig:LeftHandThumb4
17 12 EULER_XYZ mixamorig:LeftHandIndex1
18 17 EULER_XYZ mixamorig:LeftHandIndex2
19 18 EULER_XYZ mixamorig:LeftHandIndex3
20 19 EULER_XYZ mixamorig:LeftHandIndex4
21 3 EULER_XYZ mixamorig:RightShoulder
22 21 EULER_XYZ mixamorig:RightArm
23 22 EULER_XYZ mixamorig:RightForeArm
24 23 EULER_XYZ mixamorig:RightHand
25 24 EULER_XYZ mixamorig:RightHandThumb1
26 25 EULER_XYZ mixamorig:RightHandThumb2
27 26 EULER_XYZ mixamorig:RightHandThumb3
28 27 EULER_XYZ mixamorig:RightHandThumb4
29 24 EULER_XYZ mixamorig:RightHandIndex1
30 29 EULER_XYZ mixamorig:RightHandIndex2
31 30 EULER_XYZ mixamorig:RightHandIndex3
32 31 EULER_XYZ mixamorig:RightHandIndex4
33 0 EULER_XYZ mixamorig:LeftUpLeg
34 33 EULER_XYZ mixamorig:LeftLeg
35 34 EULER_XYZ mixamorig:LeftFoot
36 35 EULER_XYZ mixamorig:LeftToeBase
37 36 EULER_XYZ mixamorig:LeftToe_End
38 0 EULER_XYZ mixamorig:RightUpLeg
39 38 EULER_XYZ mixamorig:RightLeg
40 39 EULER_XYZ mixamorig:RightFoot
41 40 EULER_XYZ mixamorig:RightToeBase
42 41 EULER_XYZ mixamorig:RightToe_End
